set_number,quantity_owned
30719,2
60488,1
60500,1
60320,1
60454,1
60435,1
60452,1
60304,1
60375,1
60337,1
60316,1
60330,1
60386,1
60491,1
60469,1
60481,1
60482,1
60483,1
60484,1
60205,1
60487,1
60404,1
60384,1
60485,1
60350,1
60401,1
60453,1
60434,1
42641,1
42669,1
41736,1
42605,1
42623,1
42604,1
42674,1
42687,1
42699,1
42689,1
42671,1
41759,1
30722,1
30697,1
42635,1
42649,1
42655,1
42691,1
42692,1
41754,1
42618,1
42612,1
42642,1
42666,1
42653,1
42614,1
41727,1
42646,1
42610,1
42695,1
42648,1
42662,1
42670,1
42652,1
42665,1
42644,1
42680,1
30721,1
42659,1
41743,1
42663,1
31172,1
31155,1
31134,1
40713,1
31160,1
31169,1
31148,1
31174,1
31384,1
31156,1
40953,1
31147,1
30689,1
31149,1
31141,1
40619,1
43271,1
10349,1
10329,1
10344,1
30701,1
11508,1
11506,1
21355,1
21345,1
21353,1
40817,1
40815,1
40719,1
11042,1
11039,1
10980,1
40886,1
11370,1
21058,1
21060,1
30735,1
42179,1
31209,1
10359,1
10369,1
10362,1
